n = 12;
m = 4;

G =
  [
    [ 0.00 0.00 0.21 0.34 0.90 0.14 0.11 0.88 0.15 0.79 0.70 0.00 ]
    [ 0.00 0.00 0.00 0.00 0.44 0.00 0.30 0.50 0.53 0.00 0.17 0.00 ]
    [ 0.21 0.00 0.00 0.00 0.57 0.57 0.00 0.17 0.00 0.00 0.00 0.00 ]
    [ 0.34 0.00 0.00 0.00 0.21 0.24 0.24 0.00 0.00 0.00 0.00 0.00 ]
    [ 0.90 0.44 0.57 0.21 0.00 0.91 0.00 0.16 0.00 0.00 0.00 0.52 ]
    [ 0.14 0.00 0.57 0.24 0.91 0.00 0.00 0.35 0.00 0.00 0.39 0.00 ]
    [ 0.11 0.30 0.00 0.24 0.00 0.00 0.00 0.86 0.92 0.15 0.00 0.48 ]
    [ 0.88 0.50 0.17 0.00 0.16 0.35 0.86 0.00 0.00 0.32 0.00 0.00 ]
    [ 0.15 0.53 0.00 0.00 0.00 0.00 0.92 0.00 0.00 0.04 0.16 0.00 ]
    [ 0.79 0.00 0.00 0.00 0.00 0.00 0.15 0.32 0.04 0.00 0.00 0.00 ]
    [ 0.70 0.17 0.00 0.00 0.00 0.39 0.00 0.00 0.16 0.00 0.00 0.00 ]
    [ 0.00 0.00 0.00 0.00 0.52 0.00 0.48 0.00 0.00 0.00 0.00 0.00 ]
  ];

H =
  [
    [ 0.00 0.00 0.46 0.00 ]
    [ 0.00 0.00 0.41 0.00 ]
    [ 0.46 0.41 0.00 0.25 ]
    [ 0.00 0.00 0.25 0.00 ]
  ];
